n,k,tasks,robot_locations, Partition Algorithm timespan, Optimal timespan,PA runtime, Gurobi runtime
12,2,"[(0, 3)]","(0, 1)", 3 ,3,0.00037598609924316406,0.16761207580566406
12,2,"[(0, 3)]","(0, 2)", 3 ,3,0.00023555755615234375,0.14106178283691406
12,2,"[(0, 3)]","(0, 3)", 3 ,3,0.00028395652770996094,0.18412470817565918
12,2,"[(0, 3)]","(0, 4)", 3 ,3,0.0002803802490234375,0.13146686553955078
12,2,"[(0, 3)]","(0, 5)", 3 ,3,0.00030517578125,0.11610960960388184
12,2,"[(0, 3)]","(0, 6)", 3 ,3,0.00023627281188964844,0.14490866661071777
12,2,"[(0, 3)]","(0, 7)", 3 ,3,0.000240325927734375,0.1296217441558838
12,2,"[(0, 3)]","(0, 8)", 3 ,3,0.000232696533203125,0.11539983749389648
12,2,"[(0, 3)]","(0, 9)", 3 ,3,0.0002503395080566406,0.11362767219543457
12,2,"[(0, 3)]","(0, 10)", 3 ,3,0.0002353191375732422,0.1140906810760498
12,2,"[(0, 3)]","(0, 11)", 3 ,3,0.0002799034118652344,0.11919736862182617
12,2,"[(0, 3)]","(1, 2)", 4 ,4,0.00028228759765625,0.1373605728149414
12,2,"[(0, 3)]","(1, 3)", 4 ,4,0.0002856254577636719,0.12717962265014648
12,2,"[(0, 3)]","(1, 4)", 4 ,4,0.00023555755615234375,0.11521124839782715
12,2,"[(0, 3)]","(1, 5)", 4 ,4,0.00030994415283203125,0.1178750991821289
12,2,"[(0, 3)]","(1, 6)", 4 ,4,0.00023031234741210938,0.11667704582214355
12,2,"[(0, 3)]","(1, 7)", 4 ,4,0.0002338886260986328,0.11751294136047363
12,2,"[(0, 3)]","(1, 8)", 4 ,4,0.00027680397033691406,0.11153531074523926
12,2,"[(0, 3)]","(1, 9)", 4 ,4,0.000354766845703125,0.11305403709411621
12,2,"[(0, 3)]","(1, 10)", 4 ,4,0.0002722740173339844,0.112701416015625
12,2,"[(0, 3)]","(1, 11)", 4 ,4,0.00027370452880859375,0.15294718742370605
12,2,"[(0, 3)]","(2, 3)", 5 ,5,0.0003185272216796875,0.15132474899291992
12,2,"[(0, 3)]","(2, 4)", 5 ,5,0.0002808570861816406,0.1217501163482666
12,2,"[(0, 3)]","(2, 5)", 5 ,5,0.0002357959747314453,0.12048912048339844
12,2,"[(0, 3)]","(2, 6)", 5 ,5,0.00023508071899414062,0.11924076080322266
12,2,"[(0, 3)]","(2, 7)", 5 ,5,0.0002799034118652344,0.1215822696685791
12,2,"[(0, 3)]","(2, 8)", 5 ,5,0.0002760887145996094,0.12304186820983887
12,2,"[(0, 3)]","(2, 9)", 5 ,5,0.00027823448181152344,0.12217354774475098
12,2,"[(0, 3)]","(2, 10)", 5 ,5,0.00031185150146484375,0.11691045761108398
12,2,"[(0, 3)]","(2, 11)", 5 ,5,0.0002548694610595703,0.11343240737915039
12,2,"[(0, 3)]","(3, 4)", 6 ,6,0.00023555755615234375,0.15412020683288574
12,2,"[(0, 3)]","(3, 5)", 6 ,6,0.00023317337036132812,0.15014934539794922
12,2,"[(0, 3)]","(3, 6)", 6 ,6,0.00031256675720214844,0.13313961029052734
12,2,"[(0, 3)]","(3, 7)", 6 ,6,0.0002446174621582031,0.1333296298980713
12,2,"[(0, 3)]","(3, 8)", 6 ,6,0.00027751922607421875,0.1541883945465088
12,2,"[(0, 3)]","(3, 9)", 6 ,6,0.00027942657470703125,0.1257762908935547
12,2,"[(0, 3)]","(3, 10)", 6 ,6,0.0002486705780029297,0.12285876274108887
12,2,"[(0, 3)]","(3, 11)", 6 ,6,0.00030517578125,0.14416241645812988
12,2,"[(0, 3)]","(4, 5)", 7 ,7,0.0003654956817626953,0.1924760341644287
12,2,"[(0, 3)]","(4, 6)", 7 ,7,0.00039577484130859375,0.1372823715209961
12,2,"[(0, 3)]","(4, 7)", 7 ,7,0.0002765655517578125,0.12449908256530762
12,2,"[(0, 3)]","(4, 8)", 7 ,7,0.0003037452697753906,0.1213841438293457
12,2,"[(0, 3)]","(4, 9)", 7 ,7,0.00032067298889160156,0.12108325958251953
12,2,"[(0, 3)]","(4, 10)", 7 ,7,0.00024080276489257812,0.11707568168640137
12,2,"[(0, 3)]","(4, 11)", 7 ,7,0.0002837181091308594,0.1425914764404297
12,2,"[(0, 3)]","(5, 6)", 8 ,8,0.000274658203125,0.14649271965026855
12,2,"[(0, 3)]","(5, 7)", 8 ,8,0.00036907196044921875,0.12281465530395508
12,2,"[(0, 3)]","(5, 8)", 8 ,8,0.0002818107604980469,0.1199185848236084
12,2,"[(0, 3)]","(5, 9)", 8 ,8,0.0002868175506591797,0.12984442710876465
12,2,"[(0, 3)]","(5, 10)", 8 ,8,0.0002810955047607422,0.11753654479980469
12,2,"[(0, 3)]","(5, 11)", 8 ,8,0.0002799034118652344,0.11939644813537598
12,2,"[(0, 3)]","(6, 7)", 9 ,9,0.0003001689910888672,0.166731595993042
12,2,"[(0, 3)]","(6, 8)", 9 ,9,0.0002994537353515625,0.15456199645996094
12,2,"[(0, 3)]","(6, 9)", 9 ,9,0.00023984909057617188,0.16829442977905273
12,2,"[(0, 3)]","(6, 10)", 9 ,9,0.00030803680419921875,0.12710356712341309
12,2,"[(0, 3)]","(6, 11)", 9 ,9,0.00022912025451660156,0.127305269241333
12,2,"[(0, 3)]","(7, 8)", 10 ,10,0.00037932395935058594,0.17049121856689453
12,2,"[(0, 3)]","(7, 9)", 10 ,10,0.0003151893615722656,0.14074134826660156
12,2,"[(0, 3)]","(7, 10)", 10 ,10,0.00029921531677246094,0.1508948802947998
12,2,"[(0, 3)]","(7, 11)", 10 ,10,0.00038743019104003906,0.1796131134033203
12,2,"[(0, 3)]","(8, 9)", 11 ,11,0.0002512931823730469,0.17423415184020996
12,2,"[(0, 3)]","(8, 10)", 11 ,11,0.00023412704467773438,0.11735868453979492
12,2,"[(0, 3)]","(8, 11)", 11 ,11,0.0003247261047363281,0.126967191696167
12,2,"[(0, 3)]","(9, 10)", 12 ,12,0.00023484230041503906,0.12801265716552734
12,2,"[(0, 3)]","(9, 11)", 12 ,12,0.0002753734588623047,0.13923192024230957
12,2,"[(0, 3)]","(10, 11)", 13 ,13,0.00025463104248046875,0.1310112476348877
12,3,"[(0, 3)]","(0, 1, 2)", 3 ,3,0.00025725364685058594,0.3150773048400879
12,3,"[(0, 3)]","(0, 1, 3)", 3 ,3,0.00025725364685058594,0.31084752082824707
12,3,"[(0, 3)]","(0, 1, 4)", 3 ,3,0.00025963783264160156,0.34150099754333496
12,3,"[(0, 3)]","(0, 1, 5)", 3 ,3,0.0002560615539550781,0.2720470428466797
12,3,"[(0, 3)]","(0, 1, 6)", 3 ,3,0.00026488304138183594,0.28037190437316895
12,3,"[(0, 3)]","(0, 1, 7)", 3 ,3,0.0002543926239013672,0.35437798500061035
12,3,"[(0, 3)]","(0, 1, 8)", 3 ,3,0.0002567768096923828,0.2934105396270752
12,3,"[(0, 3)]","(0, 1, 9)", 3 ,3,0.00025463104248046875,0.30909061431884766
12,3,"[(0, 3)]","(0, 1, 10)", 3 ,3,0.0002608299255371094,0.29233503341674805
12,3,"[(0, 3)]","(0, 1, 11)", 3 ,3,0.0003209114074707031,0.3270144462585449
12,3,"[(0, 3)]","(0, 2, 3)", 3 ,3,0.00030517578125,0.29883885383605957
12,3,"[(0, 3)]","(0, 2, 4)", 3 ,3,0.0002574920654296875,0.29646754264831543
12,3,"[(0, 3)]","(0, 2, 5)", 3 ,3,0.00030493736267089844,0.28667449951171875
12,3,"[(0, 3)]","(0, 2, 6)", 3 ,3,0.00025725364685058594,0.26688361167907715
12,3,"[(0, 3)]","(0, 2, 7)", 3 ,3,0.00030350685119628906,0.26384878158569336
12,3,"[(0, 3)]","(0, 2, 8)", 3 ,3,0.0002551078796386719,0.269808292388916
12,3,"[(0, 3)]","(0, 2, 9)", 3 ,3,0.0002608299255371094,0.26244282722473145
12,3,"[(0, 3)]","(0, 2, 10)", 3 ,3,0.00028634071350097656,0.2612922191619873
12,3,"[(0, 3)]","(0, 2, 11)", 3 ,3,0.0002562999725341797,0.27156686782836914
12,3,"[(0, 3)]","(0, 3, 4)", 3 ,3,0.0003044605255126953,0.30496931076049805
12,3,"[(0, 3)]","(0, 3, 5)", 3 ,3,0.0003001689910888672,0.2922661304473877
12,3,"[(0, 3)]","(0, 3, 6)", 3 ,3,0.0002543926239013672,0.29792022705078125
12,3,"[(0, 3)]","(0, 3, 7)", 3 ,3,0.000270843505859375,0.27362704277038574
12,3,"[(0, 3)]","(0, 3, 8)", 3 ,3,0.00029397010803222656,0.2865753173828125
12,3,"[(0, 3)]","(0, 3, 9)", 3 ,3,0.00030231475830078125,0.2620706558227539
12,3,"[(0, 3)]","(0, 3, 10)", 3 ,3,0.0003070831298828125,0.269636869430542
12,3,"[(0, 3)]","(0, 3, 11)", 3 ,3,0.0003726482391357422,0.32257604598999023
12,3,"[(0, 3)]","(0, 4, 5)", 3 ,3,0.000255584716796875,0.26955389976501465
12,3,"[(0, 3)]","(0, 4, 6)", 3 ,3,0.00025582313537597656,0.29091405868530273
12,3,"[(0, 3)]","(0, 4, 7)", 3 ,3,0.0003025531768798828,0.26911258697509766
12,3,"[(0, 3)]","(0, 4, 8)", 3 ,3,0.0002548694610595703,0.26441049575805664
12,3,"[(0, 3)]","(0, 4, 9)", 3 ,3,0.0002586841583251953,0.26183652877807617
12,3,"[(0, 3)]","(0, 4, 10)", 3 ,3,0.00030159950256347656,0.26314640045166016
12,3,"[(0, 3)]","(0, 4, 11)", 3 ,3,0.00026869773864746094,0.2685070037841797
12,3,"[(0, 3)]","(0, 5, 6)", 3 ,3,0.00025534629821777344,0.27167773246765137
12,3,"[(0, 3)]","(0, 5, 7)", 3 ,3,0.0002586841583251953,0.262223482131958
12,3,"[(0, 3)]","(0, 5, 8)", 3 ,3,0.0002579689025878906,0.29275941848754883
12,3,"[(0, 3)]","(0, 5, 9)", 3 ,3,0.000255584716796875,0.27031588554382324
12,3,"[(0, 3)]","(0, 5, 10)", 3 ,3,0.00026297569274902344,0.2626502513885498
12,3,"[(0, 3)]","(0, 5, 11)", 3 ,3,0.00025653839111328125,0.2617034912109375
12,3,"[(0, 3)]","(0, 6, 7)", 3 ,3,0.0002541542053222656,0.27863144874572754
12,3,"[(0, 3)]","(0, 6, 8)", 3 ,3,0.0002579689025878906,0.2624502182006836
12,3,"[(0, 3)]","(0, 6, 9)", 3 ,3,0.00025582313537597656,0.26857829093933105
12,3,"[(0, 3)]","(0, 6, 10)", 3 ,3,0.0002639293670654297,0.26911091804504395
12,3,"[(0, 3)]","(0, 6, 11)", 3 ,3,0.00026416778564453125,0.30111002922058105
12,3,"[(0, 3)]","(0, 7, 8)", 3 ,3,0.0002751350402832031,0.27085137367248535
12,3,"[(0, 3)]","(0, 7, 9)", 3 ,3,0.00032329559326171875,0.28969478607177734
12,3,"[(0, 3)]","(0, 7, 10)", 3 ,3,0.00029540061950683594,0.26125168800354004
12,3,"[(0, 3)]","(0, 7, 11)", 3 ,3,0.0003077983856201172,0.2711217403411865
12,3,"[(0, 3)]","(0, 8, 9)", 3 ,3,0.00025844573974609375,0.27083921432495117
12,3,"[(0, 3)]","(0, 8, 10)", 3 ,3,0.00025463104248046875,0.26395654678344727
12,3,"[(0, 3)]","(0, 8, 11)", 3 ,3,0.0002551078796386719,0.2623484134674072
12,3,"[(0, 3)]","(0, 9, 10)", 3 ,3,0.00025725364685058594,0.2765367031097412
12,3,"[(0, 3)]","(0, 9, 11)", 3 ,3,0.00025773048400878906,0.29421496391296387
12,3,"[(0, 3)]","(0, 10, 11)", 3 ,3,0.0002586841583251953,0.3016541004180908
12,3,"[(0, 3)]","(1, 2, 3)", 4 ,4,0.00029778480529785156,0.3453550338745117
12,3,"[(0, 3)]","(1, 2, 4)", 4 ,4,0.0003037452697753906,0.27397918701171875
12,3,"[(0, 3)]","(1, 2, 5)", 4 ,4,0.0002582073211669922,0.2755582332611084
12,3,"[(0, 3)]","(1, 2, 6)", 4 ,4,0.00030159950256347656,0.2710456848144531
12,3,"[(0, 3)]","(1, 2, 7)", 4 ,4,0.00030159950256347656,0.28285694122314453
12,3,"[(0, 3)]","(1, 2, 8)", 4 ,4,0.000301361083984375,0.2736644744873047
12,3,"[(0, 3)]","(1, 2, 9)", 4 ,4,0.0002582073211669922,0.27143287658691406
12,3,"[(0, 3)]","(1, 2, 10)", 4 ,4,0.0002987384796142578,0.2984647750854492
12,3,"[(0, 3)]","(1, 2, 11)", 4 ,4,0.0003006458282470703,0.28127312660217285
12,3,"[(0, 3)]","(1, 3, 4)", 4 ,4,0.0002999305725097656,0.2765233516693115
12,3,"[(0, 3)]","(1, 3, 5)", 4 ,4,0.0002574920654296875,0.256641149520874
12,3,"[(0, 3)]","(1, 3, 6)", 4 ,4,0.00026106834411621094,0.2719144821166992
12,3,"[(0, 3)]","(1, 3, 7)", 4 ,4,0.00031065940856933594,0.2888481616973877
12,3,"[(0, 3)]","(1, 3, 8)", 4 ,4,0.0002956390380859375,0.2859518527984619
12,3,"[(0, 3)]","(1, 3, 9)", 4 ,4,0.00025177001953125,0.3367643356323242
12,3,"[(0, 3)]","(1, 3, 10)", 4 ,4,0.0002548694610595703,0.29952454566955566
12,3,"[(0, 3)]","(1, 3, 11)", 4 ,4,0.0002567768096923828,0.28349757194519043
12,3,"[(0, 3)]","(1, 4, 5)", 4 ,4,0.00025534629821777344,0.27422642707824707
12,3,"[(0, 3)]","(1, 4, 6)", 4 ,4,0.0002551078796386719,0.2608158588409424
12,3,"[(0, 3)]","(1, 4, 7)", 4 ,4,0.00025916099548339844,0.26368093490600586
12,3,"[(0, 3)]","(1, 4, 8)", 4 ,4,0.00025653839111328125,0.2561347484588623
12,3,"[(0, 3)]","(1, 4, 9)", 4 ,4,0.0003032684326171875,0.287930965423584
12,3,"[(0, 3)]","(1, 4, 10)", 4 ,4,0.0002799034118652344,0.29886722564697266
12,3,"[(0, 3)]","(1, 4, 11)", 4 ,4,0.0002853870391845703,0.26063060760498047
12,3,"[(0, 3)]","(1, 5, 6)", 4 ,4,0.0002913475036621094,0.27138400077819824
