n,k,tasks,robot_locations, Partition Algorithm timespan, Optimal timespan,PA runtime, Gurobi runtime
8,2,"[(0, 1), (1, 1), (2, 1)]","(0, 1)", 3 ,3,0.0005176067352294922,0.16415786743164062
8,3,"[(0, 1), (1, 1), (2, 1)]","(1, 2, 4)", 3 ,3,0.0004916191101074219,0.3745107650756836
8,4,"[(0, 1), (1, 1), (2, 1)]","(0, 2, 3, 5)", 2 ,2,0.0005235671997070312,0.5303363800048828
8,4,"[(0, 1), (1, 1), (2, 1)]","(3, 4, 5, 7)", 4 ,4,0.0005743503570556641,1.356734037399292
8,5,"[(0, 1), (1, 1), (2, 1)]","(1, 3, 4, 5, 7)", 3 ,3,0.0005974769592285156,1.939610242843628
8,2,"[(0, 1), (1, 1), (3, 1)]","(0, 5)", 3 ,3,0.0003654956817626953,0.10728597640991211
8,3,"[(0, 1), (1, 1), (3, 1)]","(1, 3, 4)", 3 ,3,0.0005738735198974609,0.2692139148712158
8,4,"[(0, 1), (1, 1), (3, 1)]","(0, 2, 4, 6)", 2 ,2,0.0005509853363037109,0.20010042190551758
8,5,"[(0, 1), (1, 1), (3, 1)]","(0, 1, 2, 3, 4)", 1 ,1,0.0005848407745361328,1.8138418197631836
8,5,"[(0, 1), (1, 1), (3, 1)]","(2, 3, 4, 5, 6)", 3 ,3,0.0005843639373779297,2.3576347827911377
8,2,"[(0, 1), (1, 1), (4, 1)]","(1, 3)", 3 ,3,0.0007092952728271484,0.1149446964263916
8,3,"[(0, 1), (1, 1), (4, 1)]","(1, 4, 5)", 3 ,3,0.0006148815155029297,0.298015832901001
8,4,"[(0, 1), (1, 1), (4, 1)]","(0, 2, 6, 7)", 3 ,3,0.0009584426879882812,0.9336879253387451
8,5,"[(0, 1), (1, 1), (4, 1)]","(0, 1, 2, 4, 5)", 1 ,1,0.0006642341613769531,1.7724761962890625
8,5,"[(0, 1), (1, 1), (4, 1)]","(2, 4, 5, 6, 7)", 4 ,4,0.0007319450378417969,2.159513235092163
8,2,"[(0, 1), (1, 1), (5, 1)]","(1, 7)", 3 ,3,0.00036144256591796875,0.13392257690429688
8,3,"[(0, 1), (1, 1), (5, 1)]","(1, 5, 7)", 3 ,3,0.00043964385986328125,0.28457069396972656
8,4,"[(0, 1), (1, 1), (5, 1)]","(0, 3, 5, 6)", 3 ,3,0.0005347728729248047,0.6795907020568848
8,5,"[(0, 1), (1, 1), (5, 1)]","(0, 1, 2, 5, 7)", 1 ,1,0.0006241798400878906,1.240992784500122
8,2,"[(0, 1), (1, 1), (6, 1)]","(0, 1)", 6 ,6,0.0004374980926513672,0.13555526733398438
8,3,"[(0, 1), (1, 1), (6, 1)]","(1, 2, 4)", 3 ,3,0.0012385845184326172,0.4622030258178711
8,4,"[(0, 1), (1, 1), (6, 1)]","(0, 2, 3, 5)", 2 ,2,0.0005970001220703125,0.8507122993469238
8,4,"[(0, 1), (1, 1), (6, 1)]","(3, 4, 5, 7)", 4 ,4,0.0006537437438964844,1.6402454376220703
8,5,"[(0, 1), (1, 1), (6, 1)]","(1, 3, 4, 5, 7)", 3 ,3,0.0005946159362792969,1.992046594619751
8,2,"[(0, 1), (1, 1), (7, 1)]","(0, 5)", 3 ,3,0.00036215782165527344,0.11310362815856934
8,3,"[(0, 1), (1, 1), (7, 1)]","(1, 3, 4)", 4 ,4,0.0004596710205078125,0.27339863777160645
8,4,"[(0, 1), (1, 1), (7, 1)]","(0, 2, 4, 6)", 2 ,2,0.0009922981262207031,0.22084307670593262
8,5,"[(0, 1), (1, 1), (7, 1)]","(0, 1, 2, 3, 4)", 4 ,4,0.0006124973297119141,8.383476972579956
8,5,"[(0, 1), (1, 1), (7, 1)]","(2, 3, 4, 5, 6)", 3 ,3,0.0006074905395507812,1.9293482303619385
8,2,"[(0, 1), (2, 1), (3, 1)]","(1, 3)", 3 ,3,0.0003478527069091797,0.10944938659667969
8,3,"[(0, 1), (2, 1), (3, 1)]","(1, 4, 5)", 3 ,3,0.00045752525329589844,0.2185359001159668
8,4,"[(0, 1), (2, 1), (3, 1)]","(0, 2, 6, 7)", 3 ,3,0.0005619525909423828,0.6829073429107666
8,5,"[(0, 1), (2, 1), (3, 1)]","(0, 1, 2, 4, 5)", 2 ,2,0.0006361007690429688,1.457371711730957
8,5,"[(0, 1), (2, 1), (3, 1)]","(2, 4, 5, 6, 7)", 3 ,3,0.000598907470703125,1.798715353012085
8,2,"[(0, 1), (2, 1), (4, 1)]","(1, 7)", 5 ,5,0.0003559589385986328,0.14310479164123535
8,3,"[(0, 1), (2, 1), (4, 1)]","(1, 5, 7)", 4 ,4,0.0005595684051513672,0.39244890213012695
8,4,"[(0, 1), (2, 1), (4, 1)]","(0, 3, 5, 6)", 2 ,2,0.0005173683166503906,0.6492054462432861
8,5,"[(0, 1), (2, 1), (4, 1)]","(0, 1, 2, 5, 7)", 2 ,2,0.0006413459777832031,1.6020920276641846
8,2,"[(0, 1), (2, 1), (5, 1)]","(0, 1)", 5 ,5,0.0004436969757080078,0.1195838451385498
8,3,"[(0, 1), (2, 1), (5, 1)]","(1, 2, 4)", 2 ,2,0.0004906654357910156,0.29459619522094727
8,4,"[(0, 1), (2, 1), (5, 1)]","(0, 2, 3, 5)", 1 ,1,0.0006070137023925781,0.5115563869476318
8,4,"[(0, 1), (2, 1), (5, 1)]","(3, 4, 5, 7)", 4 ,4,0.0005433559417724609,0.981865406036377
8,5,"[(0, 1), (2, 1), (5, 1)]","(1, 3, 4, 5, 7)", 2 ,2,0.0006399154663085938,1.9299404621124268
8,2,"[(0, 1), (2, 1), (6, 1)]","(0, 5)", 4 ,4,0.00041031837463378906,0.11845660209655762
8,3,"[(0, 1), (2, 1), (6, 1)]","(1, 3, 4)", 3 ,3,0.0004935264587402344,0.2660188674926758
8,4,"[(0, 1), (2, 1), (6, 1)]","(0, 2, 4, 6)", 1 ,1,0.0005972385406494141,0.22086405754089355
8,5,"[(0, 1), (2, 1), (6, 1)]","(0, 1, 2, 3, 4)", 3 ,3,0.0006520748138427734,1.801220178604126
8,5,"[(0, 1), (2, 1), (6, 1)]","(2, 3, 4, 5, 6)", 3 ,3,0.0006716251373291016,1.7689952850341797
8,2,"[(0, 1), (2, 1), (7, 1)]","(1, 3)", 5 ,5,0.0004048347473144531,0.11909294128417969
8,3,"[(0, 1), (2, 1), (7, 1)]","(1, 4, 5)", 3 ,3,0.00048232078552246094,0.1977708339691162
8,4,"[(0, 1), (2, 1), (7, 1)]","(0, 2, 6, 7)", 1 ,1,0.0005795955657958984,0.48766493797302246
8,5,"[(0, 1), (2, 1), (7, 1)]","(0, 1, 2, 4, 5)", 3 ,3,0.0006339550018310547,1.168142557144165
