n,k,m,total_task_length,tasks,robot_locations, Partition Algorithm timespan, Optimal timespan,AR
9,2,1,3,"[(0, 3)]","(0, 8)",3,3,1
9,2,1,3,"[(1, 3)]","(0, 8)",4,4,1
9,2,1,3,"[(2, 3)]","(0, 8)",5,5,1
9,2,1,3,"[(3, 3)]","(0, 8)",6,6,1
9,2,1,3,"[(4, 3)]","(0, 8)",7,7,1
9,2,1,3,"[(5, 3)]","(0, 8)",8,6,1.33333333333333
9,2,1,3,"[(6, 3)]","(0, 8)",9,5,1.8
9,2,1,3,"[(7, 3)]","(0, 8)",10,4,2.5
9,2,1,3,"[(8, 3)]","(0, 8)",11,3,3.66666666666667
9,2,2,3,"[(0, 2), (1, 1)]","(0, 8)",4,4,1
9,2,2,3,"[(0, 2), (2, 1)]","(0, 8)",5,5,1
9,2,2,3,"[(0, 2), (3, 1)]","(0, 8)",6,6,1
9,2,2,3,"[(0, 2), (4, 1)]","(0, 8)",5,5,1
9,2,2,3,"[(0, 2), (5, 1)]","(0, 8)",4,4,1
9,2,2,3,"[(0, 2), (6, 1)]","(0, 8)",3,3,1
9,2,2,3,"[(0, 2), (7, 1)]","(0, 8)",2,2,1
9,2,2,3,"[(0, 2), (8, 1)]","(0, 8)",2,2,1
9,2,2,3,"[(1, 2), (2, 1)]","(0, 8)",5,5,1
9,2,2,3,"[(1, 2), (3, 1)]","(0, 8)",6,6,1
9,2,2,3,"[(1, 2), (4, 1)]","(0, 8)",5,5,1
9,2,2,3,"[(1, 2), (5, 1)]","(0, 8)",4,4,1
9,2,2,3,"[(1, 2), (6, 1)]","(0, 8)",3,3,1
9,2,2,3,"[(1, 2), (7, 1)]","(0, 8)",3,3,1
9,2,2,3,"[(1, 2), (8, 1)]","(0, 8)",3,3,1
9,2,2,3,"[(2, 2), (3, 1)]","(0, 8)",6,6,1
9,2,2,3,"[(2, 2), (4, 1)]","(0, 8)",5,5,1
9,2,2,3,"[(2, 2), (5, 1)]","(0, 8)",4,4,1
9,2,2,3,"[(2, 2), (6, 1)]","(0, 8)",4,4,1
9,2,2,3,"[(2, 2), (7, 1)]","(0, 8)",4,4,1
9,2,2,3,"[(2, 2), (8, 1)]","(0, 8)",4,4,1
9,2,2,3,"[(3, 2), (4, 1)]","(0, 8)",5,5,1
9,2,2,3,"[(3, 2), (5, 1)]","(0, 8)",5,5,1
9,2,2,3,"[(3, 2), (6, 1)]","(0, 8)",5,5,1
9,2,2,3,"[(3, 2), (7, 1)]","(0, 8)",5,5,1
9,2,2,3,"[(3, 2), (8, 1)]","(0, 8)",5,5,1
9,2,2,3,"[(4, 2), (5, 1)]","(0, 8)",6,6,1
9,2,2,3,"[(4, 2), (6, 1)]","(0, 8)",6,6,1
9,2,2,3,"[(4, 2), (7, 1)]","(0, 8)",6,6,1
9,2,2,3,"[(4, 2), (8, 1)]","(0, 8)",6,6,1
9,2,2,3,"[(5, 2), (6, 1)]","(0, 8)",7,6,1.16666666666667
9,2,2,3,"[(5, 2), (7, 1)]","(0, 8)",7,6,1.16666666666667
9,2,2,3,"[(5, 2), (8, 1)]","(0, 8)",7,6,1.16666666666667
9,2,2,3,"[(6, 2), (7, 1)]","(0, 8)",8,5,1.6
9,2,2,3,"[(6, 2), (8, 1)]","(0, 8)",8,5,1.6
9,2,2,3,"[(7, 2), (8, 1)]","(0, 8)",9,4,2.25
9,2,3,3,"[(0, 1), (1, 1), (2, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(0, 1), (1, 1), (3, 1)]","(0, 8)",6,6,1
9,2,3,3,"[(0, 1), (1, 1), (4, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(0, 1), (1, 1), (5, 1)]","(0, 8)",4,4,1
9,2,3,3,"[(0, 1), (1, 1), (6, 1)]","(0, 8)",3,3,1
9,2,3,3,"[(0, 1), (1, 1), (7, 1)]","(0, 8)",3,3,1
9,2,3,3,"[(0, 1), (1, 1), (8, 1)]","(0, 8)",3,3,1
9,2,3,3,"[(0, 1), (2, 1), (3, 1)]","(0, 8)",6,6,1
9,2,3,3,"[(0, 1), (2, 1), (4, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(0, 1), (2, 1), (5, 1)]","(0, 8)",4,4,1
9,2,3,3,"[(0, 1), (2, 1), (6, 1)]","(0, 8)",4,4,1
9,2,3,3,"[(0, 1), (2, 1), (7, 1)]","(0, 8)",4,4,1
9,2,3,3,"[(0, 1), (2, 1), (8, 1)]","(0, 8)",4,4,1
9,2,3,3,"[(0, 1), (3, 1), (4, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(0, 1), (3, 1), (5, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(0, 1), (3, 1), (6, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(0, 1), (3, 1), (7, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(0, 1), (3, 1), (8, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(0, 1), (4, 1), (5, 1)]","(0, 8)",6,6,1
9,2,3,3,"[(0, 1), (4, 1), (6, 1)]","(0, 8)",6,6,1
9,2,3,3,"[(0, 1), (4, 1), (7, 1)]","(0, 8)",6,6,1
9,2,3,3,"[(0, 1), (4, 1), (8, 1)]","(0, 8)",6,6,1
9,2,3,3,"[(0, 1), (5, 1), (6, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(0, 1), (5, 1), (7, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(0, 1), (5, 1), (8, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(0, 1), (6, 1), (7, 1)]","(0, 8)",4,4,1
9,2,3,3,"[(0, 1), (6, 1), (8, 1)]","(0, 8)",4,4,1
9,2,3,3,"[(0, 1), (7, 1), (8, 1)]","(0, 8)",3,3,1
9,2,3,3,"[(1, 1), (2, 1), (3, 1)]","(0, 8)",6,6,1
9,2,3,3,"[(1, 1), (2, 1), (4, 1)]","(0, 8)",5,5,1
9,2,3,3,"[(1, 1), (2, 1), (5, 1)]","(0, 8)",4,4,1
9,2,3,3,"[(1, 1), (2, 1), (6, 1)]","(0, 8)",4,4,1
9,2,3,3,"[(1, 1), (2, 1), (7, 1)]","(0, 8)",4,4,1
